"Occupation, 1950 basis",Single words,year,gender,prestige,education,income,moral
Dyers,dyer,1990,-0.08848310326995384,0.11427270386199619,0.04313395111644603,0.04572730427941117,0.08650359097540705
Bakers,baker,1990,-0.02725339483874909,0.09238452113977684,0.03542174572930488,0.032378077550290756,0.010415270316089274
Inmate,inmate,1990,-0.11131996043584629,-0.002302731576209104,-0.1076395392597149,-0.1854860371902319,-0.04924362881329042
Sawyers,"lumberjack, sawyer",1990,-0.043448246023910536,0.05427391528896208,0.06257716703664241,0.00821212112270648,0.07639594231285203
Retired,retired,1990,-0.1026886126296605,0.1447057856635776,0.15364543042564718,-0.022191106753974406,0.1137893419945117
Porters,porter,1990,-0.017014534166858025,0.10698744890323526,0.04952747639802606,0.07686283637604552,0.007150822465089223
Authors,author,1990,0.053836382116001426,0.24237639098320712,0.06202335432346441,0.0694837980405644,0.09650021210397787
Cashiers,cashier,1990,0.060570274948019,-0.027764402468810196,0.06463195805126126,0.023840236058510163,-0.044599365637620625
Newsboys,"deliverer, carrier",1990,-0.07740825735248771,0.038873552430525225,-0.08763459348758344,-0.05076954501066792,0.03763991028528677
Chemists,chemist,1990,-0.10337507956461237,0.15266822934863025,0.036979086946045785,0.02518607868842599,0.05478192275198696
Dentists,"technician, dentist, professional",1990,-0.0111896138335206,0.08023394387979882,0.08050648124265962,-0.012229622660631873,0.04249245522275449
Glaziers,glazier,1990,-0.06924103809869908,0.15766720573228743,0.03594402441481584,-0.03288378704620214,-0.06153742089199489
Furriers,furrier,1990,-0.06938609464505485,0.1575206621738799,-0.021354337680965858,-0.0005481448767631781,0.09265224573706388
Athletes,athlete,1990,0.02880280155793545,0.1464863449940716,0.011936970617424061,0.04520485099715693,0.10980393803269486
Midwives,midwife,1990,0.27890414248057116,0.04875791654898787,-0.015516918047181243,-0.13113928613024708,0.08358635619384691
Draftsmen,"draftsperson, sketcher, delineator",1990,,,,,
Designers,designer,1990,0.09424173171447696,0.1443262096030916,0.08866839043217126,0.24020464015483306,0.07053698653091439
Clergymen,clergy,1990,0.008699109311356895,0.10466090029307085,-0.1492362078742955,-0.0818419526917777,0.013555729119736142
Teamsters,"teamster, driver, trucker",1990,-0.1225925526020869,-0.02182602635938199,-0.0072304103258436945,-0.07779392868402372,-0.014135239556059545
Surveyors,surveyor,1990,-0.14254318828523782,0.06993422455911327,0.09164831126213088,-0.03860038272737055,0.020869810904878786
Milliners,milliner,1990,-0.013223949495923055,0.2314203364231192,0.04318557040630967,0.11589757133849385,-0.06652634108503237
Carpenters,carpenter,1990,-0.11343536752340658,0.004973597567858852,0.05799764342337702,-0.06077765347964071,0.09850282954318706
Machinists,machinist,1990,-0.14845272607572574,0.04361357669276565,0.11259212093551914,0.04295613849922804,0.06046042579742719
