"Occupation, 1950 basis",Single words,year,gender,prestige,education,income,moral,evaluation,potency,activity
Dyers,dyer,1900,-0.0025702145754855285,-0.059766543811682775,-0.07671161648642102,-0.029426271627030313,0.028370840231091057,0.07426660896701508,-0.03799109158442594,0.04935152317101872
Bakers,baker,1900,0.09346134971791613,-0.06474984694898157,0.015004346409092737,-0.002588430775192836,-0.0666282839814061,-0.0051197093969478635,-0.05235161262636188,-0.04315462316632977
Inmate,inmate,1900,0.11356130457829183,0.14748484226858122,-0.037381678877660494,-0.00263239940576189,0.005473142199808816,0.01756716390183128,-0.09001290982369727,-0.06291694380569346
Sawyers,"lumberjack, sawyer",1900,-0.06995090414961691,-0.022794395649350076,0.025538619840111135,-0.04164490101788719,0.005803393862215447,0.023016077594145784,0.07097876112991672,0.01314311369241642
Retired,retired,1900,-0.002789325539148617,-0.003509746436112241,0.13815392347450017,-0.023992936048516256,0.06295737838432611,0.12670356568424815,-0.059823630278496555,-0.06640317333480958
Porters,porter,1900,-0.04606732706425238,-0.018425898361600395,0.03635379490815091,-0.029235310560579608,-0.05744621113595891,0.02483579059831953,0.026065551282503735,-0.022690343699320513
Authors,author,1900,-0.07625579588017571,0.10437918410815229,-0.006553992756277195,0.04455223875224727,-0.03626671757350968,0.08634942977217283,0.1307523761342595,-0.014050759571793844
Cashiers,cashier,1900,0.0007196545524885073,0.11712889435456447,-0.04152656415257959,-0.09327856880514393,-0.1308523507522684,-0.07769460739930922,0.04411522799517046,-0.048523046623895116
Newsboys,"deliverer, carrier",1900,-0.0012502158535685447,0.05332578338261615,0.04329435149846215,0.012534908308904892,0.035878258507578364,0.02333163372913722,0.07384548431684455,-0.002758900628427846
Chemists,chemist,1900,0.0014515478619332948,0.11637756159949593,0.053009635252034906,0.06338852845622617,0.014326059170403166,0.09300760984146056,0.07782507835528012,-0.08996278588804756
Dentists,"technician, dentist, professional",1900,0.006354285871911432,0.024625058076605793,0.031821428366667855,-0.0004375502708370089,0.012915137039997639,0.05019147979386033,0.07293262461395988,-0.06790625831396972
Glaziers,glazier,1900,0.05682717711708819,0.055297059029429024,0.023341874142656118,0.01692644649753175,-0.05031943019737113,0.025635874222890317,-0.002740469011167465,0.153657667771045
