"Occupation, 1950 basis",Single words,year,gender,prestige,education,income,moral
Dyers,dyer,1900,-0.10510981660602418,0.1696512543688835,0.03241623276659458,0.10307823105749021,0.14927753756802684
Bakers,baker,1900,-0.008257279045767285,-0.038884001936387524,0.04489183577437945,-0.13813862103600436,-0.012209818250851115
Inmate,inmate,1900,-0.0003534636736784863,0.06491148075149326,-0.030661149132020928,-0.03657910305846381,-0.02534870635368138
Sawyers,"lumberjack, sawyer",1900,0.07296302403690119,-0.04029499249859919,0.018275186187490206,-0.2048622084188768,-0.11210360583243105
Retired,retired,1900,-0.08833943492816854,0.10114184001120015,0.17540478469108348,-0.03134826640502705,0.14271726661084438
Porters,porter,1900,-0.09818503979742989,0.08730428978110209,-0.01750884563891757,-0.051369533076513124,0.0010945419174179863
Authors,author,1900,-0.03919615252581963,0.05649111611526115,-0.1392066907342655,-0.00032309907641364655,0.06653217127590022
Cashiers,cashier,1900,-0.1670152620267164,0.13126535199981573,0.0843057450670163,-0.06330993194914883,-0.017235163298238956
Newsboys,"deliverer, carrier",1900,-0.0929073163329573,-0.003966089220962275,-0.05649020028375876,-0.028242663286528448,-0.01320172241501679
Chemists,chemist,1900,-0.06878875074914069,0.08943424956627552,-0.028574530097581527,0.004786056744391309,-0.009547389682032314
Dentists,"technician, dentist, professional",1900,-0.053343597186902236,0.078716959599553,0.032526181887436244,-0.09021413282190145,0.020172691034036995
Glaziers,glazier,1900,,,,,
Furriers,furrier,1900,,,,,
Athletes,athlete,1900,-0.04101211405523669,0.06144064345794058,-0.054683424770326935,0.028832979617875825,0.08485496854292242
Midwives,midwife,1900,,,,,
Draftsmen,"draftsperson, sketcher, delineator",1900,,,,,
Designers,designer,1900,-0.11115213224276291,0.18631390403168427,0.025280162244076275,0.18205110006065017,0.08761843668956693
Clergymen,clergy,1900,-0.018089512376471797,0.05856821346240767,-0.15095078550549718,-0.026997915368116934,0.04777215789470407
Teamsters,"teamster, driver, trucker",1900,-0.1226557140009438,0.025686752881908245,-0.015216525448658948,-0.1468129523711466,-0.03853695552039167
Surveyors,surveyor,1900,-0.28760481397740156,0.19905092690700954,0.14859836866680787,0.07665063504020132,0.07324274946979492
Milliners,milliner,1900,0.09532381937869905,0.015233599269116629,0.05253164553969791,-0.09200392566418615,-0.02289522368230612
Carpenters,carpenter,1900,-0.15146445015239385,0.005535035424457713,0.05757734368796963,-0.16931410615471826,-0.020384033416798654
Machinists,machinist,1900,-0.24824299445396236,0.1659931794812721,0.006893260765155382,0.029308370956962884,-0.035412956227721996
Bartenders,bartender,1900,-0.14371480436453604,0.05710615760298514,0.042417353736104425,-0.13696570969796634,-0.09866573830563435
Librarians,librarian,1900,-0.1316530367113449,0.1955063736425357,0.11743527954277722,-0.000771981421197717,0.08828041976256557
Economists,economist,1900,-0.16119335122462872,0.15906153440654275,-0.1345358781404652,-0.005201552460185239,0.040115143874045175
Architects,architect,1900,-0.10426458399258448,0.10272444219033158,0.02506216251968022,0.03444251787407636,0.08633603557582697
Plasterers,plasterer,1900,,,,,
Physicists,physicist,1900,-0.1368505165892619,0.1841957317026127,-0.056957411900197874,-0.03556498703856566,0.0737940241799134
Bootblacks,bootblack,1900,,,,,
Osteopaths,osteopath,1900,,,,,
Bookkeepers,bookkeeper,1900,-0.08295542286602824,0.1183826396390664,0.05514383261315048,-0.12521385267475027,-0.04356283429575062
Bus drivers,"driver, chauffeur, motorist",1900,-0.05981994165071184,0.036434966443683686,-0.026693539067816824,-0.13344893946114447,-0.08444338134104767
Blacksmiths,blacksmith,1900,-0.10495753721670323,-0.08714361867223583,-0.00018534947819465186,-0.1334757198716508,-0.05351661992102991
Pharmacists,pharmacist,1900,,,,,
Millwrights,millwright ,1900,,,,,
Bookbinders,bookbinder ,1900,,,,,
Postmasters,"postmaster, mailperson",1900,-0.23355058418247043,0.1689559063302724,0.11110157882001243,0.020770761841201447,0.03991532255362263
Loom fixers,"loomfixer, loomer",1900,,,,,
Auctioneers,auctioneer,1900,,,,,
Electricians,electrician,1900,,,,,
Bank tellers,teller,1900,-0.06834779613591294,0.022396047068696263,-0.04335319135501081,-0.009821945256031174,0.06288819101067095
Agents (nec),agent,1900,-0.12995461157280405,0.008055213338645005,-0.07128559369313456,-0.06100833620285612,-0.12425468438324094
Upholsterers,upholsterer,1900,,,,,
Boilermakers,boilermaker,1900,,,,,
Optometrists,optometrist,1900,,,,,
Paperhangers,paperhanger,1900,,,,,
Mail carriers,"courier, deliverer, carrier",1900,-0.1183171819000456,0.036178764618784394,-0.01704184402829226,-0.0016850935752622624,-0.00238296075711134
Photographers,photographer,1900,-0.05807468336477495,0.022636712814698576,-0.01005841540479762,0.026543016655448413,0.002395894425012455
Psychologists,psychologist,1900,-0.08297521054607018,0.12253647412937133,-0.1132279489975917,0.0025987606448994367,0.09505460890256263
Demonstrators,demonstrator,1900,,,,,
Cabinetmakers,cabinetmaker ,1900,,,,,
Chiropractors,chiropractor,1900,,,,,
Veterinarians,veterinarian,1900,,,,,
Laborers (nec),laborer,1900,-0.16232113604341583,-0.07545293279413429,-0.08582518864868743,-0.19389476477331444,0.0962724990965276
"Molders, metal","molder, metalsmith",1900,0.09304981586491982,-0.2577475471585964,-0.039841516999113584,-0.029827069800479215,-0.04005851608725427
Mathematicians,mathematician,1900,-0.06576546408877357,0.20603810283958268,-0.1006953654291144,0.08107685055757113,0.19758447502204946
Engineers (nec),engineer,1900,-0.22489519843923467,0.1534202934055291,-0.020691425110133214,-0.048815479488298286,-0.03204065628107142
Civil-Engineers,"engineer, evaluator, inspector",1900,-0.20271696972111913,0.14663096159681666,0.014770927691188644,-0.05836344845527975,-0.04561567183014918
Practical nurses,"nurse, practitioner",1900,0.03709002392368288,-0.02543991734269513,-0.08684141084685952,-0.15718538030313767,0.07772889427830734
Inspectors (nec),inspector,1900,-0.1805387410030036,0.1398416297881042,0.0502332804925105,-0.06791141742226121,-0.059190687379226954
"Weavers, textile",weaver,1900,0.07884630306354747,0.03720098633316291,-0.013381061882581733,-0.05268611411993417,-0.03941563795827806
Mining-Engineers,"engineer, mineralogist",1900,-0.22489519843923467,0.1534202934055291,-0.020691425110133214,-0.048815479488298286,-0.03204065628107142
Teachers (n.e.c.),teacher,1900,0.10694948585181173,0.018117384120900387,0.06712853055235965,-0.09243266669513095,0.15234309482520103
Technicians (nec),technician,1900,,,,,
Religious workers,clergy,1900,-0.018089512376471797,0.05856821346240767,-0.15095078550549718,-0.026997915368116934,0.04777215789470407
"Spinners, textile","spinner, weaver",1900,0.1265420953244524,-0.021912338720580075,-0.05784483172586601,-0.036510003897868404,-0.05020909308677688
Lawyers and judges,"lawyer, judge, professional",1900,-0.0880051029607945,0.10863011435297854,0.0017362541811199311,-0.02465011765514788,0.03160844976711782
Stationary firemen,firefighter,1900,,,,,
Entertainers (nec),entertainer,1900,-0.00022669448738004729,0.04013773455283003,-0.11399564395238164,0.057429347423902447,0.10087723420968062
"Brakemen, railroad",railroader,1900,,,,,
Chemical-Engineers,"engineer, chemist",1900,-0.14684197459418769,0.12142727148590231,-0.02463297760385737,-0.022014711371953488,-0.020794022981551866
Locomotive firemen,stoker,1900,,,,,
Elevator operators,"operator, lifter",1900,-0.1482915289031375,0.023712558956514765,0.058321405733746653,0.04481994507596126,-0.061902704438560684
Telephone operators,"operator, telephonist",1900,-0.1482915289031375,0.023712558956514765,0.058321405733746653,0.04481994507596126,-0.061902704438560684
Testing-technicians,"technician, tester",1900,,,,,
Roofers and slaters,"roofer, slater",1900,,,,,
"Switchmen, railroad","operator, railroader",1900,-0.1482915289031375,0.023712558956514765,0.058321405733746653,0.04481994507596126,-0.061902704438560684
Telegraph operators,"operator, telegrapher",1900,-0.1482915289031375,0.023712558956514765,0.058321405733746653,0.04481994507596126,-0.061902704438560684
"Nurses, professional","nurse, professional",1900,0.0832833243883208,-0.0002994391683462383,0.011048002397421913,-0.1261575410967351,0.023922791089520862
Janitors and sextons,"janitor, sexton, gravedigger, cleaner",1900,-0.04860812311791674,-0.0321667104902354,-0.02393711042497168,-0.13049838956052598,0.010875816536775018
Industrial-Engineers,"engineer, industrialist",1900,-0.22489519843923467,0.1534202934055291,-0.020691425110133214,-0.048815479488298286,-0.03204065628107142
Electrical-Engineers,"engineer, electrician",1900,-0.22489519843923467,0.1534202934055291,-0.020691425110133214,-0.048815479488298286,-0.03204065628107142
Stationary engineers,engineer,1900,-0.22489519843923467,0.1534202934055291,-0.020691425110133214,-0.048815479488298286,-0.03204065628107142
Mechanical-Engineers,"engineer, mechanist, mechinist, mechanician",1900,-0.22489519843923467,0.1534202934055291,-0.020691425110133214,-0.048815479488298286,-0.03204065628107142
Locomotive engineers,"engineer, locomotist, autoist",1900,-0.22489519843923467,0.1534202934055291,-0.020691425110133214,-0.048815479488298286,-0.03204065628107142
"Conductors, railroad",conductor,1900,-0.09069223454362016,0.13200094268949092,0.05197276213581786,0.03791226952709643,0.03313043101938054
Actors and actresses,entertainer,1900,-0.00022669448738004729,0.04013773455283003,-0.11399564395238164,0.057429347423902447,0.10087723420968062
Telegraph messengers,"operator, messenger",1900,-0.15961594886720834,0.06985728007483227,0.10482859728842633,0.048133689073721196,0.021591267912041034
Editors and reporters,"editor, reporter",1900,-0.13960061457216072,0.09311321142929485,-0.07334229959993316,-0.05215511785442658,-0.008744587135598881
Biological scientists,"scientist, biologist",1900,-0.05931431568487985,0.07057880884704196,-0.12248472946418404,-0.05030464308444649,0.13033129649239067
Sheriffs and bailiffs,"police, sheriff, bailiff",1900,-0.12702594700093192,0.06415003014514671,-0.009221370717690315,-0.0991065630459494,-0.1365887234881964
Carpenters apprentice,"apprentice, carpenter",1900,-0.1559163497642891,0.051865069845765555,0.03450367736069093,-0.14414936205415546,0.014716684672113064
Waiters and waitresses,server,1900,,,,,
Charwomen and cleaners,"janitor, cleaner",1900,-0.007958553267790183,-0.12419128341397986,-0.05565167444567616,-0.14129192164479382,0.01065301576536887
Hucksters and peddlers,"huckster, peddler",1900,-0.0756994956594606,0.026842675940476162,0.03772108972554693,-0.1181564144920815,-0.0631824674960064
Sailors and deck hands,sailor,1900,-0.031747052704143935,-0.02777085861747742,-0.07382895590577938,-0.20824289886640698,0.0842540434914769
Misc social scientists,sociologist,1900,-0.14897682086607247,0.11257687866999594,-0.16194292257904666,-0.0788533834729931,0.09422808635172517
Forgemen and hammermen,"forgeron, metalsmith, hammerer, ironsmith",1900,,,,,
Blasters and powdermen,"miner, balster",1900,-0.13254794789725718,-0.121580695832778,-0.0644894495523981,-0.1303113379454406,-0.019499893321749357
Physicians and surgeons,"physician, surgeon, professional, technician",1900,-0.06125725691146011,0.17592033680348326,0.0675662123883247,-0.07368021247275248,0.04379242113908882
Stock and bond salesmen,"sales, salesperson, investor",1900,-0.09731517696810903,-0.033970060648283604,-0.06864920917063508,0.007866037187695232,-0.10810055209235092
Tailors and tailoresses,"tailor, tailoress",1900,0.029172889274996804,-0.05809397425678,-0.010105175564620584,-0.16688441964133907,-0.05533670806873697
Fishermen and oystermen,"fisher, hunter",1900,-0.08667254491158893,0.05949323803456846,-0.07869354043767103,-0.016772213337980138,-0.0059101523241164786
Power station operators,"operator, electrician",1900,-0.1482915289031375,0.023712558956514765,0.058321405733746653,0.04481994507596126,-0.061902704438560684
Electricians apprentice,"electrician, apprentice",1900,-0.16036824937618438,0.0981951042670734,0.011430011033412232,-0.11898461795359264,0.04981740276102478
Agricultural scientists,"scientist, agriculturalist, agronomist",1900,-0.0711126992418281,0.08349973526274258,-0.1586346755220316,-0.05148194187651619,0.14411282473245302
Marshals and constables,"marshal, constable",1900,-0.19723457002380743,0.11766599868760422,0.02758866331442066,-0.1001217990537297,0.011441005181358165
Accountants and auditors,"accountant, auditor",1900,-0.19714142623548264,0.20324437831083342,0.053252102741502924,0.02533412013156649,0.078984415614722
Deliverymen and routemen,"mailperson, courier, deliverer, carrier",1900,-0.1183171819000456,0.036178764618784394,-0.01704184402829226,-0.0016850935752622624,-0.00238296075711134
Office machine operators,"operator, machinist",1900,-0.1982672616785499,0.09485286921889344,0.03260733324945102,0.03706415801646207,-0.04865783033314134
Policemen and detectives,"police, detective",1900,-0.10131559288057006,0.05833137301930284,0.017559606774028798,-0.07319019272789697,-0.14331427621768783
"Firemen, fire protection","protector, firefighter",1900,-0.05618755182197513,0.09878118074400388,-0.056883148856163634,-0.11843953445080692,0.10359611614906161
Structural metal workers,"worker, metalsmith, blacksmith",1900,-0.041640499504314366,-0.07730225238355941,-0.0550410928786471,-0.08182166926772994,0.010787001295004376
Misc. natural scientists,scientist,1900,-0.0711126992418281,0.08349973526274258,-0.1586346755220316,-0.05148194187651619,0.14411282473245302
Artists and art teachers,"artist, teacher",1900,0.07739834404219388,0.023944865352302388,-0.01942446862304767,0.0005008742355354923,0.12870600177798303
Truck and tractor drivers,"driver, teamster, trucker",1900,-0.1226557140009438,0.025686752881908245,-0.015216525448658948,-0.1468129523711466,-0.03853695552039167
Welders and flame cutters,"jointer, welder",1900,,,,,
Plumbers and pipe fitters,plumber,1900,-0.13357966973187338,0.06969781697385646,0.07779155025198034,-0.17359072158329153,-0.11753483163468526
Auto mechanics apprentice,"mechanician, apprentice",1900,-0.16036824937618438,0.0981951042670734,0.011430011033412232,-0.11898461795359264,0.04981740276102478
Messengers and office boys,"mailperson, messenger, mailer",1900,-0.1709403688312792,0.11600200119314977,0.15133578884310603,0.051447433071481134,0.10508524026264275
"Baggagemen, transportation","porter, handler",1900,-0.09818503979742989,0.08730428978110209,-0.01750884563891757,-0.051369533076513124,0.0010945419174179863
"Farm laborers, wage workers","laborer, farmer",1900,-0.13365720555673835,-0.09923762205288061,-0.10423504438348424,-0.17545721796467095,0.04168376732779693
Compositors and typesetters,"compositor, typesetter",1900,,,,,
Longshoremen and stevedores,"laborer, docker, loader, stevedore",1900,-0.16232113604341583,-0.07545293279413429,-0.08582518864868743,-0.19389476477331444,0.0962724990965276
Statisticians and actuaries,"statistician, accountant, actuary",1900,-0.17616170884679955,0.28540410197365906,0.061556373810875295,0.02638821232493635,0.10687836634854417
Farmers (owners and tenants),"farmer, owner, tenant",1900,-0.10739498402587817,-0.07569660334007701,-0.08743894254610189,-0.17540491512455525,-0.06675795161478497
Musicians and music teachers,"musician, teacher",1900,0.05961487172234324,0.07385300568263997,0.011106045179153347,-0.033588365353755104,0.16428769306092966
Insurance agents and brokers,"broker, agent",1900,-0.1330054399570123,0.03457542783408892,-0.02639949201369254,-0.08166508953815324,-0.11282073089617306
"Buyers and dept heads, store","head, buyer, manager",1900,-0.06672138287527984,0.052180167358903816,-0.017102497711053617,-0.06573462658684333,-0.09201253269062626
Mine operatives and laborers,"laborer, operator, miner",1900,-0.14772020428127017,-0.057773689890132505,-0.030664410822446295,-0.09312871921426458,0.004956633778739187
Therapists and healers (nec),"therapist, healer, professional",1900,-0.030137869584387533,0.02838187709470616,-0.01636249562574677,-0.08002815967156118,0.10332424442190007
Counter and fountain workers,counter,1900,0.01826198857710095,-0.03542510221852585,-0.06719918858123529,-0.06444412770124995,-0.17298355563992796
"Collectors, bill and account","collector, biller, accountant",1900,-0.17263817063041773,0.21411277490850109,0.012017955576769886,0.014421786388929651,0.018893435153401396
Dietitians and nutritionists,"dietitian, nutritionist",1900,,,,,
Photographic process workers,"processor, photographer, operator, technician",1900,-0.10318310613395622,0.02317463588560667,0.024131495164474517,0.035681480865704836,-0.029753405006774113
Geologists and geophysicists,"geologist, geophysicist",1900,-0.184509292603958,0.2066885828243335,-0.02243991331485659,0.005938640501875408,0.0008194894124686496
"Nurses, student professional","nurse, student, professional",1900,0.04274415279234378,-0.011624218915741613,0.0046335816078993865,-0.09399990694226706,0.05780197793823661
College presidents and deans,"dean, college, president, professor",1900,-0.1046284569750252,0.15224951329781622,0.04766241087904083,-0.013500847368338353,0.08476419142155209
Dancers and dancing teachers,"dancer, teacher",1900,0.18892489001040874,0.07242809776179311,0.01777629847790947,-0.006386645427134345,0.08296281489140211
"Apprentices, printing trades","trader, apprentice",1900,-0.10234350976779621,0.03419555033899999,-0.0184895812799298,-0.13776390117801257,-0.01121778312255825
Members of the armed services,soldier,1900,-0.10097447591187302,0.08783291928890098,-0.039693107867234415,-0.10914319971146938,0.169602173072998
Mechanics and repairmen (nec),"mechanics, repairer, mechanician",1900,-0.05316459685262147,0.04685013832779052,-0.060270929912534604,-0.021017753448929238,0.1394211826143006
Shipping and receiving clerks,"clerk, handler, register",1900,-0.12589299961934772,-0.006803002744499357,-0.00686657684468623,-0.01679743151730597,-0.07725878661380287
Cement and concrete finishers,"laborer, finisher, mason",1900,-0.11249797087573796,0.019039798508166672,-0.0656605654094382,-0.15665041584983516,-0.002191534366799197
"Rollers and roll hands, metal","roller, blacksmith",1900,-0.08396258035528371,-0.11638547463904457,0.024168109328641867,-0.07835093692577037,-0.08042408536553469
Motion picture projectionists,projectionist,1900,,,,,
Medical and dental-technicians,"technician, dentist, professional",1900,-0.053343597186902236,0.078716959599553,0.032526181887436244,-0.09021413282190145,0.020172691034036995
Real estate agents and brokers,"broker, sales, agent",1900,-0.1260303561273913,0.024142798664545297,-0.019444354989933677,-0.043000293392938226,-0.12575092688678868
Taxicab drivers and chauffeurs,"driver, chauffeur, cabbie, cabby",1900,-0.05981994165071184,0.036434966443683686,-0.026693539067816824,-0.13344893946114447,-0.08444338134104767
Airplane pilots and navigators,"pilot, navigator",1900,-0.1859240453856515,0.09398224846529551,0.003813299749697633,-0.027481733024901006,0.07713313384671147
Decorators and window dressers,"decorator, dresser",1900,0.14728677829776413,-0.038236987783069144,6.445519933787058e-05,0.0670345689783879,-0.12868112407269994
Foresters and conservationists,"conservationist, forester",1900,0.18256769470359568,0.01428656474163303,-0.019026411533653705,-0.0023222678821283966,0.1386141589463163
Electrotypers and stereotypers,"stereotyper, eletrotyper",1900,,,,,
Salesmen and sales clerks (nec),"sales, clerk",1900,-0.14287578953090732,0.010997880008297743,0.014103373585222012,-0.0066730625593358,-0.09951695494374264
Private household workers (nec),housekeeper,1900,0.2828621104897392,-0.054768439441972364,0.037440829599917166,-0.16263879629124284,0.04915628433133328
